source,receiver,start,end,year,method,id
HAUP,MQZ,91,121,2022,all,603
HAUP,MQZ,121,152,2022,all,604
HAUP,MQZ,152,182,2022,all,605
HAUP,MQZ,182,213,2022,all,606
HAUP,MQZ,213,244,2022,all,607
HAUP,MQZ,244,274,2022,all,608
HAUP,MQZ,274,305,2022,all,609
HAUP,MQZ,305,335,2022,all,610
HAUP,MQZ,335,365,2022,all,611
HAUP,OPZ,1,32,2022,all,612
HAUP,OPZ,32,60,2022,all,613
HAUP,OPZ,60,91,2022,all,614
HAUP,OPZ,91,121,2022,all,615
HAUP,OPZ,121,152,2022,all,616
HAUP,OPZ,152,182,2022,all,617
HAUP,OPZ,182,213,2022,all,618
HAUP,OPZ,213,244,2022,all,619
HAUP,OPZ,244,274,2022,all,620
HAUP,OPZ,274,305,2022,all,621
HAUP,OPZ,305,335,2022,all,622
HAUP,OPZ,335,365,2022,all,623
HAUP,QRZ,1,32,2022,all,624
HAUP,QRZ,32,60,2022,all,625
HAUP,QRZ,60,91,2022,all,626
HAUP,QRZ,91,121,2022,all,627
HAUP,QRZ,121,152,2022,all,628
HAUP,QRZ,152,182,2022,all,629
HAUP,QRZ,182,213,2022,all,630
HAUP,QRZ,213,244,2022,all,631
HAUP,QRZ,244,274,2022,all,632
HAUP,QRZ,274,305,2022,all,633
HAUP,QRZ,305,335,2022,all,634
HAUP,QRZ,335,365,2022,all,635
HAUP,NNZ,1,32,2022,all,636
HAUP,NNZ,32,60,2022,all,637
HAUP,NNZ,60,91,2022,all,638
HAUP,NNZ,91,121,2022,all,639
HAUP,NNZ,121,152,2022,all,640
HAUP,NNZ,152,182,2022,all,641
HAUP,NNZ,182,213,2022,all,642
HAUP,NNZ,213,244,2022,all,643
HAUP,NNZ,244,274,2022,all,644
HAUP,NNZ,274,305,2022,all,645
HAUP,NNZ,305,335,2022,all,646
HAUP,NNZ,335,365,2022,all,647
HAUP,DSZ,1,32,2022,all,648
HAUP,DSZ,32,60,2022,all,649
HAUP,DSZ,60,91,2022,all,650
HAUP,DSZ,91,121,2022,all,651
HAUP,DSZ,121,152,2022,all,652
HAUP,DSZ,152,182,2022,all,653
HAUP,DSZ,182,213,2022,all,654
HAUP,DSZ,213,244,2022,all,655
HAUP,DSZ,244,274,2022,all,656
HAUP,DSZ,274,305,2022,all,657
HAUP,DSZ,305,335,2022,all,658
HAUP,DSZ,335,365,2022,all,659
HAUP,THZ,1,32,2022,all,660
HAUP,THZ,32,60,2022,all,661
HAUP,THZ,60,91,2022,all,662
HAUP,THZ,91,121,2022,all,663
HAUP,THZ,121,152,2022,all,664
HAUP,THZ,152,182,2022,all,665
HAUP,THZ,182,213,2022,all,666
HAUP,THZ,213,244,2022,all,667
HAUP,THZ,244,274,2022,all,668
HAUP,THZ,274,305,2022,all,669
HAUP,THZ,305,335,2022,all,670
HAUP,THZ,335,365,2022,all,671
HAUP,KHZ,1,32,2022,all,672
HAUP,KHZ,32,60,2022,all,673
HAUP,KHZ,60,91,2022,all,674
HAUP,KHZ,91,121,2022,all,675
HAUP,KHZ,121,152,2022,all,676
HAUP,KHZ,152,182,2022,all,677
HAUP,KHZ,182,213,2022,all,678
