source,receiver,start,end,year,method,id
MTFO,INZ,244,274,2022,cohe,352
MTFO,INZ,274,305,2022,cohe,353
MTFO,INZ,305,335,2022,cohe,354
MTFO,INZ,335,365,2022,cohe,355
MTFO,FOZ,1,32,2022,cohe,356
MTFO,FOZ,32,60,2022,cohe,357
MTFO,FOZ,60,91,2022,cohe,358
MTFO,FOZ,91,121,2022,cohe,359
MTFO,FOZ,121,152,2022,cohe,360
MTFO,FOZ,152,182,2022,cohe,361
MTFO,FOZ,182,213,2022,cohe,362
MTFO,FOZ,213,244,2022,cohe,363
MTFO,FOZ,244,274,2022,cohe,364
MTFO,FOZ,274,305,2022,cohe,365
MTFO,FOZ,305,335,2022,cohe,366
MTFO,FOZ,335,365,2022,cohe,367
MTFO,JCZ,1,32,2022,cohe,368
MTFO,JCZ,32,60,2022,cohe,369
MTFO,JCZ,60,91,2022,cohe,370
MTFO,JCZ,91,121,2022,cohe,371
MTFO,JCZ,121,152,2022,cohe,372
MTFO,JCZ,152,182,2022,cohe,373
MTFO,JCZ,182,213,2022,cohe,374
MTFO,JCZ,213,244,2022,cohe,375
MTFO,JCZ,244,274,2022,cohe,376
MTFO,JCZ,274,305,2022,cohe,377
MTFO,JCZ,305,335,2022,cohe,378
MTFO,JCZ,335,365,2022,cohe,379
MTFO,EAZ,1,32,2022,cohe,380
MTFO,EAZ,32,60,2022,cohe,381
MTFO,EAZ,60,91,2022,cohe,382
MTFO,EAZ,91,121,2022,cohe,383
MTFO,EAZ,121,152,2022,cohe,384
MTFO,EAZ,152,182,2022,cohe,385
MTFO,EAZ,182,213,2022,cohe,386
MTFO,EAZ,213,244,2022,cohe,387
MTFO,EAZ,244,274,2022,cohe,388
MTFO,EAZ,274,305,2022,cohe,389
MTFO,EAZ,305,335,2022,cohe,390
MTFO,EAZ,335,365,2022,cohe,391
MTFO,MLZ,1,32,2022,cohe,392
MTFO,MLZ,32,60,2022,cohe,393
MTFO,MLZ,60,91,2022,cohe,394
MTFO,MLZ,91,121,2022,cohe,395
MTFO,MLZ,121,152,2022,cohe,396
MTFO,MLZ,152,182,2022,cohe,397
MTFO,MLZ,182,213,2022,cohe,398
MTFO,MLZ,213,244,2022,cohe,399
MTFO,MLZ,244,274,2022,cohe,400
MTFO,MLZ,274,305,2022,cohe,401
MTFO,MLZ,305,335,2022,cohe,402
MTFO,MLZ,335,365,2022,cohe,403
MTFO,DCZ,1,32,2022,cohe,404
MTFO,DCZ,32,60,2022,cohe,405
MTFO,DCZ,60,91,2022,cohe,406
MTFO,DCZ,91,121,2022,cohe,407
MTFO,DCZ,121,152,2022,cohe,408
MTFO,DCZ,152,182,2022,cohe,409
MTFO,DCZ,182,213,2022,cohe,410
MTFO,DCZ,213,244,2022,cohe,411
MTFO,DCZ,244,274,2022,cohe,412
MTFO,DCZ,274,305,2022,cohe,413
MTFO,DCZ,305,335,2022,cohe,414
MTFO,DCZ,335,365,2022,cohe,415
MTFO,PYZ,1,32,2022,cohe,416
MTFO,PYZ,32,60,2022,cohe,417
MTFO,PYZ,60,91,2022,cohe,418
MTFO,PYZ,91,121,2022,cohe,419
MTFO,PYZ,121,152,2022,cohe,420
MTFO,PYZ,152,182,2022,cohe,421
MTFO,PYZ,182,213,2022,cohe,422
MTFO,PYZ,213,244,2022,cohe,423
MTFO,PYZ,244,274,2022,cohe,424
MTFO,PYZ,274,305,2022,cohe,425
MTFO,PYZ,305,335,2022,cohe,426
MTFO,PYZ,335,365,2022,cohe,427
MTFO,WHZ,1,32,2022,cohe,428
MTFO,WHZ,32,60,2022,cohe,429
MTFO,WHZ,60,91,2022,cohe,430
MTFO,WHZ,91,121,2022,cohe,431
MTFO,WHZ,121,152,2022,cohe,432
MTFO,WHZ,152,182,2022,cohe,433
MTFO,WHZ,182,213,2022,cohe,434
MTFO,WHZ,213,244,2022,cohe,435
MTFO,WHZ,244,274,2022,cohe,436
MTFO,WHZ,274,305,2022,cohe,437
MTFO,WHZ,305,335,2022,cohe,438
MTFO,WHZ,335,365,2022,cohe,439
MTFO,TUZ,1,32,2022,cohe,440
MTFO,TUZ,32,60,2022,cohe,441
MTFO,TUZ,60,91,2022,cohe,442
MTFO,TUZ,91,121,2022,cohe,443
MTFO,TUZ,121,152,2022,cohe,444
MTFO,TUZ,152,182,2022,cohe,445
MTFO,TUZ,182,213,2022,cohe,446
MTFO,TUZ,213,244,2022,cohe,447
MTFO,TUZ,244,274,2022,cohe,448
MTFO,TUZ,274,305,2022,cohe,449
MTFO,TUZ,305,335,2022,cohe,450
MTFO,TUZ,335,365,2022,cohe,451
MTFO,SYZ,1,32,2022,cohe,452
MTFO,SYZ,32,60,2022,cohe,453
MTFO,SYZ,60,91,2022,cohe,454
MTFO,SYZ,91,121,2022,cohe,455
MTFO,SYZ,121,152,2022,cohe,456
MTFO,SYZ,152,182,2022,cohe,457
MTFO,SYZ,182,213,2022,cohe,458
MTFO,SYZ,213,244,2022,cohe,459
MTFO,SYZ,244,274,2022,cohe,460
MTFO,SYZ,274,305,2022,cohe,461
MTFO,SYZ,305,335,2022,cohe,462
MTFO,SYZ,335,365,2022,cohe,463
MTFO,WEL,1,32,2022,cohe,464
MTFO,WEL,32,60,2022,cohe,465
MTFO,WEL,60,91,2022,cohe,466
MTFO,WEL,91,121,2022,cohe,467
MTFO,WEL,121,152,2022,cohe,468
MTFO,WEL,152,182,2022,cohe,469
MTFO,WEL,182,213,2022,cohe,470
MTFO,WEL,213,244,2022,cohe,471
MTFO,WEL,244,274,2022,cohe,472
MTFO,WEL,274,305,2022,cohe,473
MTFO,WEL,305,335,2022,cohe,474
MTFO,WEL,335,365,2022,cohe,475
MTFO,HARK,1,32,2022,cohe,476
MTFO,HARK,32,60,2022,cohe,477
MTFO,HARK,60,91,2022,cohe,478
MTFO,HARK,91,121,2022,cohe,479
MTFO,HARK,121,152,2022,cohe,480
